DATE,EUR
1/2/2002,329.7
8/2/2002,348.9
15/2/2002,343.4
22/2/2002,333.7
1/3/2002,341.2
8/3/2002,330.0
15/3/2002,328.5
22/3/2002,334.7
29/3/2002,345.5
5/4/2002,342.4
12/4/2002,341.4
19/4/2002,339.5
26/4/2002,341.2
3/5/2002,340.1
10/5/2002,340.9
17/5/2002,337.2
24/5/2002,347.8
31/5/2002,349.6
7/6/2002,345.3
14/6/2002,339.6
21/6/2002,333.0
28/6/2002,322.5
5/7/2002,319.8
12/7/2002,320.2
19/7/2002,318.3
26/7/2002,308.4
2/8/2002,309.7
9/8/2002,321.8
16/8/2002,319.3
23/8/2002,314.5
30/8/2002,319.0
6/9/2002,324.1
13/9/2002,325.8
20/9/2002,327.7
27/9/2002,328.1
4/10/2002,326.1
11/10/2002,321.4
18/10/2002,321.9
25/10/2002,320.3
1/11/2002,321.0
8/11/2002,317.6
15/11/2002,317.0
22/11/2002,318.0
29/11/2002,320.7
6/12/2002,323.2
13/12/2002,325.1
20/12/2002,332.7
27/12/2002,335.7
3/1/2003,330.7
10/1/2003,335.2
17/1/2003,335.0
24/1/2003,338.5
31/1/2003,342.3
7/2/2003,344.9
14/2/2003,328.2
21/2/2003,325.9
28/2/2003,322.4
7/3/2003,317.7
14/3/2003,311.4
21/3/2003,316.3
28/3/2003,307.6
4/4/2003,302.6
